YearMonth,APICommentsAveragePerPR
2023-08,33.0
2023-09,13.047619047619
2023-10,11.9217171717172
2023-11,10.469387755102
2023-12,10.5429362880886
2024-01,11.5992366412214
2024-02,10.4700239808153
2024-03,12.9978165938865
2024-04,11.0474452554745
2024-05,11.5120481927711
2024-06,11.3489932885906
2024-07,12.2624113475177
2024-08,10.4376039933444
2024-09,10.5477815699659
2024-10,11.333855799373
2024-11,10.2210884353741
2024-12,10.8588516746411
2025-01,9.35773710482529
2025-02,10.9084967320261
2025-03,10.7596439169139
2025-04,10.6043165467626
2025-05,8.77291381668947
2025-06,9.90153846153846
2025-07,8.76923076923077
2025-08,8.51282051282051
2025-09,7.35851851851852
2025-10,3.02631578947368
